Timer,Processes,Minimum Calls,Maximum Calls,Minimum Time,Maximum Time,Mean Time,Median Time
PixelData.forward_alltoallv MPI Alltoallv,1,9,9,0.000828116,0.000828116,0.000828116,0.000828116
PixelData.reverse_alltoallv MPI Alltoallv,1,8,8,0.00020831000000000002,0.00020831000000000002,0.00020831000000000002,0.00020831000000000002
cov_accum_diag_hits,1,768,768,0.11485732500000001,0.11485732500000001,0.11485732500000001,0.11485732500000001
cov_accum_diag_invnpp,1,768,768,0.32733285999999967,0.32733285999999967,0.32733285999999967,0.32733285999999967
cov_apply_diag,1,8,8,0.0007049889999999999,0.0007049889999999999,0.0007049889999999999,0.0007049889999999999
cov_eigendecompose_diag,1,4,4,0.003849478,0.003849478,0.003849478,0.003849478
toast_so_map (total),1,1,1,43.597761731,43.597761731,43.597761731,43.597761731
