Timer,Processes,Minimum Calls,Maximum Calls,Minimum Time,Maximum Time,Mean Time,Median Time
PixelData.forward_alltoallv MPI Alltoallv,1,9,9,0.000728644,0.000728644,0.000728644,0.000728644
PixelData.reverse_alltoallv MPI Alltoallv,1,8,8,0.000246795,0.000246795,0.000246795,0.000246795
cov_accum_diag_hits,1,600,600,0.11540095900000008,0.11540095900000008,0.11540095900000008,0.11540095900000008
cov_accum_diag_invnpp,1,600,600,0.3768043960000001,0.3768043960000001,0.3768043960000001,0.3768043960000001
cov_apply_diag,1,14,14,0.0008381460000000001,0.0008381460000000001,0.0008381460000000001,0.0008381460000000001
cov_eigendecompose_diag,1,7,7,0.0024921210000000004,0.0024921210000000004,0.0024921210000000004,0.0024921210000000004
toast_so_map (total),1,1,1,330.156872163,330.156872163,330.156872163,330.156872163
