Timer,Processes,Minimum Calls,Maximum Calls,Minimum Time,Maximum Time,Mean Time,Median Time
PixelData.forward_alltoallv MPI Alltoallv,1,9,9,0.000529758,0.000529758,0.000529758,0.000529758
PixelData.reverse_alltoallv MPI Alltoallv,1,8,8,0.00013683,0.00013683,0.00013683,0.00013683
cov_accum_diag_hits,1,768,768,0.11088191399999987,0.11088191399999987,0.11088191399999987,0.11088191399999987
cov_accum_diag_invnpp,1,768,768,0.31341052299999994,0.31341052299999994,0.31341052299999994,0.31341052299999994
cov_apply_diag,1,8,8,0.00066223,0.00066223,0.00066223,0.00066223
cov_eigendecompose_diag,1,4,4,0.001748983,0.001748983,0.001748983,0.001748983
toast_so_map (total),1,1,1,521.153597216,521.153597216,521.153597216,521.153597216
