Timer,Processes,Minimum Calls,Maximum Calls,Minimum Time,Maximum Time,Mean Time,Median Time
PixelData.forward_alltoallv MPI Alltoallv,1,9,9,0.00034022899999999994,0.00034022899999999994,0.00034022899999999994,0.00034022899999999994
PixelData.reverse_alltoallv MPI Alltoallv,1,8,8,8.3635e-05,8.3635e-05,8.3635e-05,8.3635e-05
cov_accum_diag_hits,1,96,96,0.008668958999999995,0.008668958999999995,0.008668958999999995,0.008668958999999995
cov_accum_diag_invnpp,1,96,96,0.03455540900000001,0.03455540900000001,0.03455540900000001,0.03455540900000001
cov_apply_diag,1,6,6,0.00039565499999999997,0.00039565499999999997,0.00039565499999999997,0.00039565499999999997
cov_eigendecompose_diag,1,3,3,0.001540527,0.001540527,0.001540527,0.001540527
toast_so_map (total),1,1,1,53.366807725,53.366807725,53.366807725,53.366807725
