Timer,Processes,Minimum Calls,Maximum Calls,Minimum Time,Maximum Time,Mean Time,Median Time
PixelData.forward_alltoallv MPI Alltoallv,1,9,9,0.00038496399999999996,0.00038496399999999996,0.00038496399999999996,0.00038496399999999996
PixelData.reverse_alltoallv MPI Alltoallv,1,8,8,9.2963e-05,9.2963e-05,9.2963e-05,9.2963e-05
cov_accum_diag_hits,1,96,96,0.011077361000000003,0.011077361000000003,0.011077361000000003,0.011077361000000003
cov_accum_diag_invnpp,1,96,96,0.043156515999999964,0.043156515999999964,0.043156515999999964,0.043156515999999964
cov_apply_diag,1,6,6,0.00046646799999999994,0.00046646799999999994,0.00046646799999999994,0.00046646799999999994
cov_eigendecompose_diag,1,3,3,0.001381824,0.001381824,0.001381824,0.001381824
toast_so_map (total),1,1,1,60.373634503,60.373634503,60.373634503,60.373634503
