Timer,Processes,Minimum Calls,Maximum Calls,Minimum Time,Maximum Time,Mean Time,Median Time
PixelData.forward_alltoallv MPI Alltoallv,1,9,9,0.00047385799999999996,0.00047385799999999996,0.00047385799999999996,0.00047385799999999996
PixelData.reverse_alltoallv MPI Alltoallv,1,8,8,9.709099999999998e-05,9.709099999999998e-05,9.709099999999998e-05,9.709099999999998e-05
cov_accum_diag_hits,1,768,768,0.07943343199999994,0.07943343199999994,0.07943343199999994,0.07943343199999994
cov_accum_diag_invnpp,1,768,768,0.23954404900000026,0.23954404900000026,0.23954404900000026,0.23954404900000026
cov_apply_diag,1,8,8,0.00048103199999999994,0.00048103199999999994,0.00048103199999999994,0.00048103199999999994
cov_eigendecompose_diag,1,4,4,0.001190716,0.001190716,0.001190716,0.001190716
toast_so_map (total),1,1,1,317.428215718,317.428215718,317.428215718,317.428215718
