Timer,Processes,Minimum Calls,Maximum Calls,Minimum Time,Maximum Time,Mean Time,Median Time
PixelData.forward_alltoallv MPI Alltoallv,1,9,9,0.000443516,0.000443516,0.000443516,0.000443516
PixelData.reverse_alltoallv MPI Alltoallv,1,8,8,0.00010132400000000001,0.00010132400000000001,0.00010132400000000001,0.00010132400000000001
cov_accum_diag_hits,1,768,768,0.08484715000000008,0.08484715000000008,0.08484715000000008,0.08484715000000008
cov_accum_diag_invnpp,1,768,768,0.243084428,0.243084428,0.243084428,0.243084428
cov_apply_diag,1,8,8,0.0004968290000000001,0.0004968290000000001,0.0004968290000000001,0.0004968290000000001
cov_eigendecompose_diag,1,4,4,0.001235835,0.001235835,0.001235835,0.001235835
toast_so_map (total),1,1,1,285.909938481,285.909938481,285.909938481,285.909938481
