Timer,Processes,Minimum Calls,Maximum Calls,Minimum Time,Maximum Time,Mean Time,Median Time
PixelData.forward_alltoallv MPI Alltoallv,1,9,9,0.000507856,0.000507856,0.000507856,0.000507856
PixelData.reverse_alltoallv MPI Alltoallv,1,8,8,0.000128094,0.000128094,0.000128094,0.000128094
cov_accum_diag_hits,1,768,768,0.10775880100000013,0.10775880100000013,0.10775880100000013,0.10775880100000013
cov_accum_diag_invnpp,1,768,768,0.30124857000000016,0.30124857000000016,0.30124857000000016,0.30124857000000016
cov_apply_diag,1,8,8,0.000672284,0.000672284,0.000672284,0.000672284
cov_eigendecompose_diag,1,4,4,0.0015480300000000002,0.0015480300000000002,0.0015480300000000002,0.0015480300000000002
toast_so_map (total),1,1,1,526.130534814,526.130534814,526.130534814,526.130534814
