Timer,Processes,Minimum Calls,Maximum Calls,Minimum Time,Maximum Time,Mean Time,Median Time
PixelData.forward_alltoallv MPI Alltoallv,1,9,9,0.0006238060000000001,0.0006238060000000001,0.0006238060000000001,0.0006238060000000001
PixelData.reverse_alltoallv MPI Alltoallv,1,8,8,8.758099999999999e-05,8.758099999999999e-05,8.758099999999999e-05,8.758099999999999e-05
cov_accum_diag_hits,1,576,576,0.060953865000000024,0.060953865000000024,0.060953865000000024,0.060953865000000024
cov_accum_diag_invnpp,1,576,576,0.21385961200000025,0.21385961200000025,0.21385961200000025,0.21385961200000025
cov_apply_diag,1,6,6,0.00037632,0.00037632,0.00037632,0.00037632
cov_eigendecompose_diag,1,3,3,0.0020910399999999997,0.0020910399999999997,0.0020910399999999997,0.0020910399999999997
toast_so_map (total),1,1,1,329.122448472,329.122448472,329.122448472,329.122448472
