Timer,Processes,Minimum Calls,Maximum Calls,Minimum Time,Maximum Time,Mean Time,Median Time
PixelData.forward_alltoallv MPI Alltoallv,1,9,9,0.0004928640000000001,0.0004928640000000001,0.0004928640000000001,0.0004928640000000001
PixelData.reverse_alltoallv MPI Alltoallv,1,8,8,0.000129838,0.000129838,0.000129838,0.000129838
cov_accum_diag_hits,1,768,768,0.10430989499999997,0.10430989499999997,0.10430989499999997,0.10430989499999997
cov_accum_diag_invnpp,1,768,768,0.3081572939999999,0.3081572939999999,0.3081572939999999,0.3081572939999999
cov_apply_diag,1,8,8,0.00062528,0.00062528,0.00062528,0.00062528
cov_eigendecompose_diag,1,4,4,0.001551921,0.001551921,0.001551921,0.001551921
toast_so_map (total),1,1,1,502.138134666,502.138134666,502.138134666,502.138134666
