0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.524744893926173290e+02 3.115158173924349738e-02 1.415078216796822081e-06 2.596374516098059360e+00
3.000000000000000000e+00 9.057114278539268071e+02 4.363132259210039665e-02 2.830587892681988333e-06 2.997754159354746317e+00
4.000000000000000000e+00 8.589887878925460427e+02 4.163744662687821757e-02 4.718601631765108457e-06 2.892944450550528401e+00
5.000000000000000000e+00 8.234742697436164462e+02 3.079929240629343187e-02 7.079684566903750568e-06 2.535272481980805459e+00
6.000000000000000000e+00 7.988504430710156612e+02 1.884447303702544915e-02 9.914534422418869056e-06 2.098253010815276376e+00
7.000000000000000000e+00 7.830539381204590654e+02 1.038523879788208135e-02 1.322397581718597009e-05 1.683273729619959136e+00
8.000000000000000000e+00 7.735134968984549459e+02 6.108670681521725411e-03 1.700895357639529954e-05 1.341078722151837654e+00
9.000000000000000000e+00 7.689479248964501039e+02 4.514428246096091439e-03 2.127052504954890405e-05 1.088710514183739209e+00
1.000000000000000000e+01 7.680523029967520188e+02 3.919252009194871232e-03 2.600985149283098464e-05 9.275203458126375367e-01
1.100000000000000000e+01 7.695825201807641633e+02 3.445098790028280813e-03 3.122818874773377809e-05 8.469037224441682277e-01
1.200000000000000000e+01 7.742594068041870514e+02 2.979944688249287852e-03 3.692687703593280885e-05 8.316166175239939617e-01
1.300000000000000000e+01 7.800715583942887861e+02 2.688436832707650440e-03 4.310733019372517828e-05 8.578020452649252059e-01
1.400000000000000000e+01 7.869818653922118301e+02 2.657261394988609700e-03 4.977102429727728593e-05 9.040741055187108133e-01
1.500000000000000000e+01 7.939967155819213076e+02 2.821607291128429371e-03 5.691948588114825128e-05 9.610485286067441679e-01
1.600000000000000000e+01 8.028055500553374486e+02 3.067882908981374186e-03 6.455427974357455631e-05 1.024263571070297862e+00
1.700000000000000000e+01 8.132582227133179913e+02 3.384224111174792375e-03 7.267699654746999913e-05 1.087752609060669506e+00
1.800000000000000000e+01 8.242382763333814637e+02 3.794097358532470821e-03 8.128924029646873164e-05 1.148327538127480452e+00
1.900000000000000000e+01 8.365106647075782575e+02 4.354321063022519034e-03 9.039261561359884616e-05 1.209465649780731678e+00
2.000000000000000000e+01 8.484671996933888067e+02 5.098061584391825815e-03 9.998871543054982326e-05 1.267218106768436714e+00
