Timer,Processes,Minimum Calls,Maximum Calls,Minimum Time,Maximum Time,Mean Time,Median Time
PixelData.forward_alltoallv MPI Alltoallv,1,9,9,0.0016001090000000002,0.0016001090000000002,0.0016001090000000002,0.0016001090000000002
PixelData.reverse_alltoallv MPI Alltoallv,1,8,8,0.00030344899999999996,0.00030344899999999996,0.00030344899999999996,0.00030344899999999996
cov_accum_diag_hits,1,600,600,0.14986366700000017,0.14986366700000017,0.14986366700000017,0.14986366700000017
cov_accum_diag_invnpp,1,600,600,0.474196623,0.474196623,0.474196623,0.474196623
cov_apply_diag,1,14,14,0.0011190869999999997,0.0011190869999999997,0.0011190869999999997,0.0011190869999999997
cov_eigendecompose_diag,1,7,7,0.0031437349999999995,0.0031437349999999995,0.0031437349999999995,0.0031437349999999995
toast_so_map (total),1,1,1,354.030930783,354.030930783,354.030930783,354.030930783
