1.000000000000000048e-04 3.735269760254572589e+02
1.097498765493056151e-04 4.085956556443674117e+02
1.204503540258782072e-04 4.469530337750935018e+02
1.321941148466029056e-04 4.889062477262240236e+02
1.450828778495939786e-04 5.347908393994861171e+02
1.592282793341092296e-04 5.849732637216683315e+02
1.747528400007684023e-04 6.398533520721487093e+02
1.917910261672488357e-04 6.998673795399789697e+02
2.104904144512020621e-04 7.654909589791884628e+02
2.310129700083159968e-04 8.372426538187175993e+02
2.535364493970111472e-04 9.156867249324166096e+02
2.782559402207124147e-04 1.001437759993357645e+03
3.053855508833415249e-04 1.095163370695350068e+03
3.351602650938842183e-04 1.197588922812093415e+03
3.678379771828633083e-04 1.309499984632075893e+03
4.037017258596553842e-04 1.431748548886193475e+03
4.430621457583879788e-04 1.565255033017780988e+03
4.862601580065353964e-04 1.711012881208277804e+03
5.336699231206308959e-04 1.870092046776234838e+03
5.857020818056665268e-04 2.043642545652066701e+03
6.428073117284320353e-04 2.232897119556521830e+03
7.054802310718643081e-04 2.439173685937037135e+03
7.742636826811267678e-04 2.663877409561048353e+03
8.497534359086441084e-04 2.908498786630217182e+03
9.326033468832196872e-04 3.174613300016587800e+03
1.023531021899026046e-03 3.463876915524071137e+03
1.123324032978027407e-03 3.778014245237744944e+03
1.232846739442065853e-03 4.118808714748722196e+03
1.353047774579806779e-03 4.488081861871537512e+03
1.484968262254464811e-03 4.887677332340082103e+03
1.629750834620643553e-03 5.319428728755183329e+03
1.788649529057434158e-03 5.785121904353920399e+03
1.963040650040270407e-03 6.286444944332700288e+03
2.154434690031883405e-03 6.824934885894432227e+03
2.364489412645407428e-03 7.401906788388065252e+03
2.595024211399734985e-03 8.018371328449827161e+03
2.848035868435801199e-03 8.674938578180548575e+03
3.125715849688235834e-03 9.371703885073868150e+03
3.430469286314916447e-03 1.010811310877014876e+04
3.764935806792466672e-03 1.088280321649070720e+04
4.132012400115335840e-03 1.169343226058564142e+04
4.534878508128581745e-03 1.253649873133391884e+04
4.977023564332110246e-03 1.340715078834139240e+04
5.462277217684339062e-03 1.429900577435365994e+04
5.994842503189405300e-03 1.520393269111742484e+04
6.579332246575679381e-03 1.611189044808729705e+04
7.220809018385459729e-03 1.701080813766317442e+04
7.924828983539173796e-03 1.788653480244074672e+04
8.697490026177831166e-03 1.872277165740743658e+04
9.545484566618333763e-03 1.950127802396858533e+04
1.047615752789664637e-02 2.020200913779957773e+04
1.149756995397735286e-02 2.080340243789632223e+04
1.261856883066020570e-02 2.128292641545053630e+04
1.384886371393872703e-02 2.161769018073489860e+04
1.519911082952932722e-02 2.178539272824826185e+04
1.668100537200058880e-02 2.176571763536149228e+04
1.830738280295367629e-02 2.154212112214244917e+04
2.009233002565045598e-02 2.110355614790039908e+04
2.205130739903045367e-02 2.044710239282805924e+04
2.420128264794380729e-02 1.957849865291414244e+04
2.656087782946683559e-02 1.851747541241754516e+04
2.915053062825175706e-02 1.731056969774470781e+04
3.199267137797381227e-02 1.598183250147678518e+04
3.511191734215130672e-02 1.460994570190980266e+04
3.853528593710527084e-02 1.326304022825401989e+04
4.229242874389495255e-02 1.201977451495247806e+04
4.641588833612777382e-02 1.092568290089175207e+04
5.094138014816376042e-02 1.002307077269641923e+04
5.590810182512223614e-02 9.283801493883169314e+03
6.135907273413170049e-02 8.636975375443071243e+03
6.734150657750816171e-02 7.997263311804704244e+03
7.390722033525776169e-02 7.254899574109631430e+03
8.111308307896866743e-02 6.348872350213599020e+03
8.902150854450377460e-02 5.366790708413685934e+03
9.770099572992249626e-02 4.479865170089890853e+03
1.072267222010322568e-01 3.832598985911487489e+03
1.176811952434997227e-01 3.442752112593040692e+03
1.291549665014883330e-01 3.129120868884095216e+03
1.417474162926803949e-01 2.698525363235406530e+03
1.555676143930471433e-01 2.189370796994067405e+03
1.707352647470689599e-01 1.812406386799707889e+03
1.873817422860382387e-01 1.607692321551569194e+03
2.056512308348650564e-01 1.381361820092242624e+03
2.257019719633918398e-01 1.111573478294319557e+03
2.477076355991710555e-01 9.434070787548248518e+02
2.718588242732939420e-01 8.015577708748990062e+02
2.983647240283336388e-01 6.506912923996833342e+02
3.274549162877727349e-01 5.501350999800012005e+02
3.593813663804621972e-01 4.496227219287985122e+02
3.944206059437651568e-01 3.738385585011951093e+02
4.328761281083056134e-01 3.058305081678250303e+02
4.750810162102796497e-01 2.517377483965205442e+02
5.214008287999679636e-01 2.059542668204107656e+02
5.722367659350213742e-01 1.681209067843993523e+02
6.280291441834251476e-01 1.370346813190992066e+02
6.892612104349689073e-01 1.114487976261344926e+02
7.564633275546283064e-01 9.045122593035866032e+01
8.302175681319743372e-01 7.326523193711612691e+01
9.111627561154879151e-01 5.923561624377051515e+01
9.999999999999991118e-01 4.780727547460595872e+01
