0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.712323691623715831e+02 3.198389645423766608e-02 1.686780532795751235e-06 2.602887514076109632e+00
3.000000000000000000e+00 9.200431229546098848e+02 4.412268194024517032e-02 3.374005165626497973e-06 2.999433127406868849e+00
4.000000000000000000e+00 8.702149976740867032e+02 4.138394337611121104e-02 5.624325179874236734e-06 2.883030816751575021e+00
5.000000000000000000e+00 8.325965465911357342e+02 3.003219362030630155e-02 8.438322568770239117e-06 2.513690993958114905e+00
6.000000000000000000e+00 8.065576567962665422e+02 1.804028702483857077e-02 1.181671613590992478e-05 2.068592578714603558e+00
7.000000000000000000e+00 7.897650875841719653e+02 9.859057567341771716e-03 1.576035579940092629e-05 1.650483811339456874e+00
8.000000000000000000e+00 7.794912023228977205e+02 5.886765402613983351e-03 2.027021591123413021e-05 1.310553868396295396e+00
9.000000000000000000e+00 7.744031602421222260e+02 4.451984608531131711e-03 2.534738755500993447e-05 1.062744645904142748e+00
1.000000000000000000e+01 7.731467610641822148e+02 3.874657607333732452e-03 3.099306994434167955e-05 9.065550648401454747e-01
1.100000000000000000e+01 7.744188786383095930e+02 3.365517318776329279e-03 3.720856108300225754e-05 8.305114992315637545e-01
1.200000000000000000e+01 7.788534305771274830e+02 2.883555312616281271e-03 4.399524756307412728e-05 8.184172861336872495e-01
1.300000000000000000e+01 7.845722849673077235e+02 2.602300583633738659e-03 5.135459376597703611e-05 8.470474713845527193e-01
1.400000000000000000e+01 7.914627316286542964e+02 2.579093740225196860e-03 5.928813047680816254e-05 8.932646758086089100e-01
1.500000000000000000e+01 7.985021500698678665e+02 2.733418338020981476e-03 6.779744306793299786e-05 9.467017085305156066e-01
1.600000000000000000e+01 8.073584706429656990e+02 2.956815769134940423e-03 7.688415927378288784e-05 1.005694064649880426e+00
1.700000000000000000e+01 8.178816735195047158e+02 3.252677233084457376e-03 8.654993674057967739e-05 1.065510616112043119e+00
1.800000000000000000e+01 8.289636444985640082e+02 3.656072208666989731e-03 9.679645045941689160e-05 1.123385633857282073e+00
1.900000000000000000e+01 8.413803624967954420e+02 4.214408154061034979e-03 1.076253799523869769e-04 1.182608458241653837e+00
2.000000000000000000e+01 8.535300801776625121e+02 4.948767856565597714e-03 1.190383969180415735e-04 1.238884186588622427e+00
