1.000000000000000048e-04 3.968540780175820260e+02
1.097498765493056151e-04 4.341105561001903652e+02
1.204503540258782072e-04 4.748601668421015916e+02
1.321941148466029056e-04 5.194289114367609272e+02
1.450828778495939786e-04 5.681730054089214264e+02
1.592282793341092296e-04 6.214810731432347666e+02
1.747528400007684023e-04 6.797770992683358600e+02
1.917910261672488357e-04 7.435238268628422702e+02
2.104904144512020621e-04 8.132255271835715575e+02
2.310129700083159968e-04 8.894312009389179821e+02
2.535364493970111472e-04 9.727384133919181295e+02
2.782559402207124147e-04 1.063797328733067843e+03
3.053855508833415249e-04 1.163313769540359544e+03
3.351602650938842183e-04 1.272053478556091477e+03
3.678379771828633083e-04 1.390845081223777470e+03
4.037017258596553842e-04 1.520586523083923794e+03
4.430621457583879788e-04 1.662245172883977148e+03
4.862601580065353964e-04 1.816863762882346464e+03
5.336699231206308959e-04 1.985563249929872882e+03
5.857020818056665268e-04 2.169544377006631748e+03
6.428073117284320353e-04 2.370090814843039425e+03
7.054802310718643081e-04 2.588569743452247167e+03
7.742636826811267678e-04 2.826431515962302456e+03
8.497534359086441084e-04 3.085208763021097184e+03
9.326033468832196872e-04 3.366510164524955144e+03
1.023531021899026046e-03 3.672011385703338874e+03
1.123324032978027407e-03 4.003444877063418517e+03
1.232846739442065853e-03 4.362582226429472030e+03
1.353047774579806779e-03 4.751212191851338503e+03
1.484968262254464811e-03 5.171112749921208888e+03
1.629750834620643553e-03 5.624018108620532075e+03
1.788649529057434158e-03 6.111585650460022407e+03
1.963040650040270407e-03 6.635331548126323469e+03
2.154434690031883405e-03 7.196586782716166454e+03
2.364489412645407428e-03 7.796432159418021001e+03
2.595024211399734985e-03 8.435629351917956228e+03
2.848035868435801199e-03 9.114541302395515231e+03
3.125715849688235834e-03 9.833047695070410555e+03
3.430469286314916447e-03 1.059043542049409371e+04
3.764935806792466672e-03 1.138528309851686208e+04
4.132012400115335840e-03 1.221534258496552138e+04
4.534878508128581745e-03 1.307739991630169789e+04
4.977023564332110246e-03 1.396716857797132252e+04
5.462277217684339062e-03 1.487906309738995697e+04
5.994842503189405300e-03 1.580612867104563884e+04
6.579332246575679381e-03 1.674016365259781378e+04
7.220809018385459729e-03 1.766960134223581917e+04
7.924828983539173796e-03 1.858207478447315589e+04
8.697490026177831166e-03 1.946413512615893342e+04
9.545484566618333763e-03 2.029949302918081230e+04
1.047615752789664637e-02 2.106921811715564399e+04
1.149756995397735286e-02 2.175241860884472408e+04
1.261856883066020570e-02 2.232657422765977753e+04
1.384886371393872703e-02 2.276751151036088413e+04
1.519911082952932722e-02 2.305016330776875111e+04
1.668100537200058880e-02 2.314995415646368929e+04
1.830738280295367629e-02 2.304440891398369422e+04
2.009233002565045598e-02 2.271556089478429931e+04
2.205130739903045367e-02 2.215297073314461886e+04
2.420128264794380729e-02 2.135724905865591427e+04
2.656087782946683559e-02 2.034372233138203592e+04
2.915053062825175706e-02 1.914540601867582882e+04
3.199267137797381227e-02 1.781410085514063030e+04
3.511191734215130672e-02 1.641849073216294710e+04
3.853528593710527084e-02 1.503724988873592520e+04
4.229242874389495255e-02 1.375165094071564272e+04
4.641588833612777382e-02 1.261529922288796297e+04
5.094138014816376042e-02 1.168315622013056236e+04
5.590810182512223614e-02 1.092261626179567793e+04
6.135907273413170049e-02 1.025342225713848165e+04
6.734150657750816171e-02 9.575576360239929272e+03
7.390722033525776169e-02 8.754416291642934084e+03
8.111308307896866743e-02 7.716790621144574288e+03
8.902150854450377460e-02 6.575445515483633244e+03
9.770099572992249626e-02 5.538029479443644050e+03
1.072267222010322568e-01 4.786190873794597792e+03
1.176811952434997227e-01 4.339249374308294136e+03
1.291549665014883330e-01 3.969242311606748899e+03
1.417474162926803949e-01 3.440535414066891462e+03
1.555676143930471433e-01 2.809885894097542860e+03
1.707352647470689599e-01 2.349895959713390766e+03
1.873817422860382387e-01 2.100104170309186429e+03
2.056512308348650564e-01 1.810373565563614648e+03
2.257019719633918398e-01 1.466639287410344878e+03
2.477076355991710555e-01 1.255157741330241151e+03
2.718588242732939420e-01 1.069654405689037503e+03
2.983647240283336388e-01 8.740090096103322139e+02
3.274549162877727349e-01 7.425427231447361009e+02
3.593813663804621972e-01 6.095297791952018542e+02
3.944206059437651568e-01 5.091015982805079716e+02
4.328761281083056134e-01 4.182087307927365600e+02
4.750810162102796497e-01 3.454339997103076030e+02
5.214008287999679636e-01 2.836585498416201290e+02
5.722367659350213742e-01 2.322757635865459918e+02
6.280291441834251476e-01 1.898631050759508412e+02
6.892612104349689073e-01 1.548173828489570951e+02
7.564633275546283064e-01 1.259504793638294018e+02
8.302175681319743372e-01 1.022408949705266963e+02
9.111627561154879151e-01 8.282331566241565213e+01
9.999999999999991118e-01 6.696277755375278673e+01
