0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.735707463743577819e+02 3.204399042437421075e-02 1.715336035202271332e-06 2.600990623753984377e+00
3.000000000000000000e+00 9.219192213527242075e+02 4.414088429770007815e-02 3.431120858097641853e-06 2.995558874368772884e+00
4.000000000000000000e+00 8.717091725981367745e+02 4.133590789573584473e-02 5.719528387057571766e-06 2.877532064720468963e+00
5.000000000000000000e+00 8.337922898534931164e+02 2.994749059583063158e-02 8.581146780465856859e-06 2.507604873430029357e+00
6.000000000000000000e+00 8.075254268274534297e+02 1.796353225687363428e-02 1.201670247535198311e-05 2.062977405432765643e+00
7.000000000000000000e+00 7.905564466365448197e+02 9.815999067252114199e-03 1.602705444361591689e-05 1.646029726291941664e+00
8.000000000000000000e+00 7.801442842631209942e+02 5.876338551114326098e-03 2.061318745577506159e-05 1.307588822622176794e+00
9.000000000000000000e+00 7.749515519410717843e+02 4.458355264436298163e-03 2.577620431113456122e-05 1.061055103486085116e+00
1.000000000000000000e+01 7.736160979080775633e+02 3.882674954369514427e-03 3.151731716615828292e-05 9.056523813777647147e-01
1.100000000000000000e+01 7.748281764781149832e+02 3.368187112995529517e-03 3.783783811280957868e-05 8.299382391527331260e-01
1.200000000000000000e+01 7.792115887551741480e+02 2.880925303390234702e-03 4.473916889184729816e-05 8.178002385224801829e-01
1.300000000000000000e+01 7.849016580905033607e+02 2.596677750963814063e-03 5.222278999867819167e-05 8.462694527432775837e-01
1.400000000000000000e+01 7.917676274427456065e+02 2.571425275811615747e-03 6.029024920099007796e-05 8.921878525049865560e-01
1.500000000000000000e+01 7.987836977624058363e+02 2.723576375809922366e-03 6.894314961868161420e-05 9.450812328953717145e-01
1.600000000000000000e+01 8.076142736350204814e+02 2.944623742627889250e-03 7.818313739287244941e-05 1.003535095405193589e+00
1.700000000000000000e+01 8.181092771495092393e+02 3.238265196817700312e-03 8.801188912519673476e-05 1.062924638431604896e+00
1.800000000000000000e+01 8.291618612910115189e+02 3.639737431241643617e-03 9.843109920035667611e-05 1.120514699435879002e+00
1.900000000000000000e+01 8.415488267070576285e+02 4.195897970398941405e-03 1.094424668560667314e-04 1.179578655604647475e+00
2.000000000000000000e+01 8.536687507423552006e+02 4.927271071419683963e-03 1.210476837182572984e-04 1.235782776600225397e+00
