Timer,Processes,Minimum Calls,Maximum Calls,Minimum Time,Maximum Time,Mean Time,Median Time
PixelData.forward_alltoallv MPI Alltoallv,1,9,9,0.000413603,0.000413603,0.000413603,0.000413603
PixelData.reverse_alltoallv MPI Alltoallv,1,8,8,9.5156e-05,9.5156e-05,9.5156e-05,9.5156e-05
cov_accum_diag_hits,1,768,768,0.07841089799999999,0.07841089799999999,0.07841089799999999,0.07841089799999999
cov_accum_diag_invnpp,1,768,768,0.2451123279999999,0.2451123279999999,0.2451123279999999,0.2451123279999999
cov_apply_diag,1,8,8,0.000479626,0.000479626,0.000479626,0.000479626
cov_eigendecompose_diag,1,4,4,0.001197289,0.001197289,0.001197289,0.001197289
toast_so_map (total),1,1,1,291.192864725,291.192864725,291.192864725,291.192864725
